"PACKAGE","Class","METHOD_COVERAGE"
"com.shaft.cli","TerminalActions","76.56"
"com.shaft.cucumber","ElementSteps.LocatorType","66.67"
"com.shaft.driver","SHAFT.DB","87.5"
"com.shaft.driver","SHAFT.GUI.WebDriver","85.71"
"com.shaft.driver.internal","FluentWebDriverAction","85.71"
"com.shaft.driver.internal","WizardHelpers.StandaloneAssertions","66.67"
"com.shaft.gui.browser","NetworkInterceptionRequestBuilder","84.85"
"com.shaft.gui.driver","DriverAssertions","0"
"com.shaft.gui.driver","DriverContract","0"
"com.shaft.gui.driver","DriverVerifications","0"
"com.shaft.gui.driver","ElementActionsContract","0"
"com.shaft.gui.driver","ShaftLocator","86.67"
"com.shaft.gui.internal.healing","HealingManager","89.47"
"com.shaft.gui.internal.healing","HealingProvider","0"
"com.shaft.gui.internal.healing","HealingProviderRegistry","66.67"
"com.shaft.gui.internal.image","ImageProcessingActions","80"
"com.shaft.gui.internal.natural","NaturalActionPlanner","0"
"com.shaft.gui.internal.natural","NaturalActionPlannerRegistry","42.86"
"com.shaft.gui.internal.video","DesktopVideoRecordingProviderRegistry","62.5"
"com.shaft.gui.playwright.browser","BrowserActions","35.19"
"com.shaft.gui.playwright.element","AlertActions","50"
"com.shaft.gui.playwright.element","ElementActions","45.95"
"com.shaft.gui.playwright.validation","PlaywrightDriverVerifications","83.33"
"com.shaft.gui.playwright.validation","PlaywrightElementValidationsBuilder","84.62"
"com.shaft.gui.playwright.validation","PlaywrightValidationsExecutor","66.07"
"com.shaft.listeners","CucumberFeatureListener","85.37"
"com.shaft.listeners.internal","ExecutionLifecycleHelper","88.24"
"com.shaft.properties.internal","EngineProperties.SetProperty","0"
"com.shaft.properties.internal","Pilot","50"
"com.shaft.tools.io.internal","LogRedirector","83.33"
