"PACKAGE","Class","FULL_CLASS","METHOD_COVERAGE","METHOD_COVERED","METHOD_MISSED","PUBLIC_METHODS","TARGET_METHOD_COVERED_FOR_90","ADDITIONAL_METHOD_COVERAGE_REQUIRED","STATUS"
"com.shaft.cli","TerminalActions","com.shaft.cli.TerminalActions","76.56","49","15","64","76.56","9","below_threshold"
"com.shaft.cucumber","ElementSteps.LocatorType","com.shaft.cucumber.ElementSteps.LocatorType","66.67","2","1","3","66.67","1","below_threshold"
"com.shaft.driver","SHAFT.DB","com.shaft.driver.SHAFT.DB","87.5","7","1","8","87.5","1","below_threshold"
"com.shaft.driver","SHAFT.GUI.WebDriver","com.shaft.driver.SHAFT.GUI.WebDriver","85.71","12","2","14","85.71","1","below_threshold"
"com.shaft.driver.internal","FluentWebDriverAction","com.shaft.driver.internal.FluentWebDriverAction","85.71","12","2","14","85.71","1","below_threshold"
"com.shaft.driver.internal","WizardHelpers.StandaloneAssertions","com.shaft.driver.internal.WizardHelpers.StandaloneAssertions","66.67","4","2","6","66.67","2","below_threshold"
"com.shaft.gui.browser","NetworkInterceptionRequestBuilder","com.shaft.gui.browser.NetworkInterceptionRequestBuilder","84.85","28","5","33","84.85","2","below_threshold"
"com.shaft.gui.driver","DriverAssertions","com.shaft.gui.driver.DriverAssertions","0","0","1","1","0","1","below_threshold"
"com.shaft.gui.driver","DriverContract","com.shaft.gui.driver.DriverContract","0","0","2","2","0","2","below_threshold"
"com.shaft.gui.driver","DriverVerifications","com.shaft.gui.driver.DriverVerifications","0","0","1","1","0","1","below_threshold"
"com.shaft.gui.driver","ElementActionsContract","com.shaft.gui.driver.ElementActionsContract","0","0","22","22","0","20","below_threshold"
"com.shaft.gui.driver","ShaftLocator","com.shaft.gui.driver.ShaftLocator","86.67","13","2","15","86.67","1","below_threshold"
"com.shaft.gui.internal.healing","HealingManager","com.shaft.gui.internal.healing.HealingManager","89.47","17","2","19","89.47","1","below_threshold"
"com.shaft.gui.internal.healing","HealingProvider","com.shaft.gui.internal.healing.HealingProvider","0","0","2","2","0","2","below_threshold"
"com.shaft.gui.internal.healing","HealingProviderRegistry","com.shaft.gui.internal.healing.HealingProviderRegistry","66.67","6","3","9","66.67","3","below_threshold"
"com.shaft.gui.internal.image","ImageProcessingActions","com.shaft.gui.internal.image.ImageProcessingActions","80","12","3","15","80","2","below_threshold"
"com.shaft.gui.internal.natural","NaturalActionPlanner","com.shaft.gui.internal.natural.NaturalActionPlanner","0","0","2","2","0","2","below_threshold"
"com.shaft.gui.internal.natural","NaturalActionPlannerRegistry","com.shaft.gui.internal.natural.NaturalActionPlannerRegistry","42.86","6","8","14","42.86","7","below_threshold"
"com.shaft.gui.internal.video","DesktopVideoRecordingProviderRegistry","com.shaft.gui.internal.video.DesktopVideoRecordingProviderRegistry","62.5","5","3","8","62.5","3","below_threshold"
"com.shaft.gui.playwright.browser","BrowserActions","com.shaft.gui.playwright.browser.BrowserActions","35.19","19","35","54","35.19","30","below_threshold"
"com.shaft.gui.playwright.element","AlertActions","com.shaft.gui.playwright.element.AlertActions","50","3","3","6","50","3","below_threshold"
"com.shaft.gui.playwright.element","ElementActions","com.shaft.gui.playwright.element.ElementActions","45.95","34","40","74","45.95","33","below_threshold"
"com.shaft.gui.playwright.validation","PlaywrightDriverVerifications","com.shaft.gui.playwright.validation.PlaywrightDriverVerifications","83.33","5","1","6","83.33","1","below_threshold"
"com.shaft.gui.playwright.validation","PlaywrightElementValidationsBuilder","com.shaft.gui.playwright.validation.PlaywrightElementValidationsBuilder","84.62","22","4","26","84.62","2","below_threshold"
"com.shaft.gui.playwright.validation","PlaywrightValidationsExecutor","com.shaft.gui.playwright.validation.PlaywrightValidationsExecutor","66.07","37","19","56","66.07","14","below_threshold"
"com.shaft.listeners","CucumberFeatureListener","com.shaft.listeners.CucumberFeatureListener","85.37","35","6","41","85.37","2","below_threshold"
"com.shaft.listeners.internal","ExecutionLifecycleHelper","com.shaft.listeners.internal.ExecutionLifecycleHelper","88.24","15","2","17","88.24","1","below_threshold"
"com.shaft.properties.internal","EngineProperties.SetProperty","com.shaft.properties.internal.EngineProperties.SetProperty","0","0","1","1","0","1","below_threshold"
"com.shaft.properties.internal","Pilot","com.shaft.properties.internal.Pilot","50","1","1","2","50","1","below_threshold"
"com.shaft.tools.io.internal","LogRedirector","com.shaft.tools.io.internal.LogRedirector","83.33","5","1","6","83.33","1","below_threshold"
