"Class","MethodCoverage","Covered","Missed","Total"
"com.shaft.api.RestActions.new TypeReference() {...}","0","0","1","1"
"com.shaft.gui.driver.DriverAssertions","0","0","1","1"
"com.shaft.gui.driver.DriverContract","0","0","2","2"
"com.shaft.gui.driver.DriverVerifications","0","0","1","1"
"com.shaft.gui.driver.ElementActionsContract","0","0","22","22"
"com.shaft.gui.internal.healing.HealingProvider","0","0","2","2"
"com.shaft.gui.internal.natural.NaturalActionPlanner","0","0","2","2"
"com.shaft.properties.internal.EngineProperties.SetProperty","0","0","1","1"
"com.shaft.gui.playwright.browser.BrowserActions","35.19","19","35","54"
"com.shaft.gui.internal.natural.NaturalActionPlannerRegistry","42.86","6","8","14"
"com.shaft.gui.playwright.element.ElementActions","45.95","34","40","74"
"com.shaft.driver.internal.DriverFactory.DriverFactoryHelper.new AddHasCdp() {...}","50","1","1","2"
"com.shaft.gui.playwright.element.AlertActions","50","3","3","6"
"com.shaft.properties.internal.Pilot","50","1","1","2"
"com.shaft.gui.internal.video.DesktopVideoRecordingProviderRegistry","62.5","5","3","8"
"com.shaft.gui.playwright.validation.PlaywrightValidationsExecutor","66.07","37","19","56"
"com.shaft.cucumber.ElementSteps.LocatorType","66.67","2","1","3"
"com.shaft.driver.internal.WizardHelpers.StandaloneAssertions","66.67","4","2","6"
"com.shaft.gui.internal.healing.HealingProviderRegistry","66.67","6","3","9"
"com.shaft.cli.TerminalActions","76.56","49","15","64"
"com.shaft.gui.internal.image.ImageProcessingActions","80","12","3","15"
"com.shaft.gui.playwright.validation.PlaywrightDriverVerifications","83.33","5","1","6"
"com.shaft.tools.io.internal.LogRedirector","83.33","5","1","6"
"com.shaft.gui.playwright.validation.PlaywrightElementValidationsBuilder","84.62","22","4","26"
"com.shaft.gui.browser.NetworkInterceptionRequestBuilder","84.85","28","5","33"
"com.shaft.listeners.CucumberFeatureListener","85.37","35","6","41"
"com.shaft.driver.internal.FluentWebDriverAction","85.71","12","2","14"
"com.shaft.driver.SHAFT.GUI.WebDriver","85.71","12","2","14"
"com.shaft.gui.driver.ShaftLocator","86.67","13","2","15"
"com.shaft.driver.SHAFT.DB","87.5","7","1","8"
"com.shaft.listeners.internal.ExecutionLifecycleHelper","88.24","15","2","17"
"com.shaft.gui.internal.healing.HealingManager","89.47","17","2","19"
