"Package","Class","MethodCoverage","Covered","Missed"
"com.shaft.api","com.shaft.api.RestActions$1","0","0","1"
"com.shaft.driver.internal","com.shaft.driver.internal.$","0","0","1"
"com.shaft.gui.driver","com.shaft.gui.driver.DriverAssertions","0","0","1"
"com.shaft.gui.driver","com.shaft.gui.driver.DriverContract","0","0","2"
"com.shaft.gui.driver","com.shaft.gui.driver.DriverVerifications","0","0","1"
"com.shaft.gui.driver","com.shaft.gui.driver.ElementActionsContract","0","0","22"
"com.shaft.gui.internal.healing","com.shaft.gui.internal.healing.HealingProvider","0","0","2"
"com.shaft.gui.internal.natural","com.shaft.gui.internal.natural.NaturalActionPlanner","0","0","2"
"com.shaft.properties.internal","com.shaft.properties.internal.EngineProperties$SetProperty","0","0","1"
"com.shaft.gui.playwright.browser","com.shaft.gui.playwright.browser.BrowserActions","35.19","19","35"
"com.shaft.gui.internal.natural","com.shaft.gui.internal.natural.NaturalActionPlannerRegistry","42.86","6","8"
"com.shaft.gui.playwright.element","com.shaft.gui.playwright.element.ElementActions","45.95","34","40"
"com.shaft.driver.internal.DriverFactory","com.shaft.driver.internal.DriverFactory.DriverFactoryHelper$1","50","1","1"
"com.shaft.gui.playwright.element","com.shaft.gui.playwright.element.AlertActions","50","3","3"
"com.shaft.properties.internal","com.shaft.properties.internal.Pilot","50","1","1"
"com.shaft.gui.internal.video","com.shaft.gui.internal.video.DesktopVideoRecordingProviderRegistry","62.5","5","3"
"com.shaft.gui.playwright.validation","com.shaft.gui.playwright.validation.PlaywrightValidationsExecutor","66.07","37","19"
"com.shaft.cucumber","com.shaft.cucumber.ElementSteps$LocatorType","66.67","2","1"
"com.shaft.driver.internal","com.shaft.driver.internal.WizardHelpers$StandaloneAssertions","66.67","4","2"
"com.shaft.gui.internal.healing","com.shaft.gui.internal.healing.HealingProviderRegistry","66.67","6","3"
"com.shaft.cli","com.shaft.cli.TerminalActions","76.56","49","15"
"com.shaft.gui.internal.image","com.shaft.gui.internal.image.ImageProcessingActions","80","12","3"
"com.shaft.gui.playwright.validation","com.shaft.gui.playwright.validation.PlaywrightDriverVerifications","83.33","5","1"
"com.shaft.tools.io.internal","com.shaft.tools.io.internal.LogRedirector","83.33","5","1"
"com.shaft.gui.playwright.validation","com.shaft.gui.playwright.validation.PlaywrightElementValidationsBuilder","84.62","22","4"
"com.shaft.gui.browser","com.shaft.gui.browser.NetworkInterceptionRequestBuilder","84.85","28","5"
"com.shaft.listeners","com.shaft.listeners.CucumberFeatureListener","85.37","35","6"
"com.shaft.driver","com.shaft.driver.SHAFT$GUI$WebDriver","85.71","12","2"
"com.shaft.driver.internal","com.shaft.driver.internal.FluentWebDriverAction","85.71","12","2"
"com.shaft.gui.driver","com.shaft.gui.driver.ShaftLocator","86.67","13","2"
"com.shaft.driver","com.shaft.driver.SHAFT$DB","87.5","7","1"
"com.shaft.listeners.internal","com.shaft.listeners.internal.ExecutionLifecycleHelper","88.24","15","2"
"com.shaft.gui.internal.healing","com.shaft.gui.internal.healing.HealingManager","89.47","17","2"
